,PATTERN_ABSTRACT,PATTERN_DEF,ROOT,ROOT_SUB,DEFINE,CLASS,PATTERN,LEMMA,LEMMA_SUB,FORM,FORM_SUB,BW,BW_SUB,GLOSS,FEAT,COND-T,COND-F,COND-S,MATCH,COMMENTS,STATUS
1036,1a2a3,,\1.\2.t,,BACKOFF,[STEM-PV],1u2i3,lex:\1a\2at,,\1u\2it,,,\1u\2it/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#t intrans,^([^wyA}&])([^wyA}&])t$,1,
1037,1a2a3,,\1.w.\2,,BACKOFF,[STEM-PV],1u}i3,lex:\1a}i\2-a,,\1u}i\2,,,\1u}i\2/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])}([^ntwyA}&])$,1,
1038,1a2a3,,\1.\2.\2,,BACKOFF,[STEM-PV],1u2i3,lex:\1u\2~,,\1u\2i\2,,,\1u\2i\2/PV_PASS,na,pos:verb asp:p vox:p mod:i,c-suff,,gem intrans,^([^wyA}&])([^ntwyA}&])\2$,1,
1039,1a2a3,,\1.w.\2,,BACKOFF,[STEM-PV],1u}i3,lex:\1a&u\2-u,,\1u}i\2,,,\1u}i\2/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])}([^ntwyA}&])$,1,
1040,1A2a3,,\1.w.\2,,BACKOFF,[STEM-PV],1uw}i3,lex:\1A'a\2,,\1uw}i\2,,,\1uw}i\2/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])w}([^ntwyA}&])$,1,
1041,1a2a3,,\1.\2.>,,BACKOFF,[STEM-PV],1u2i},lex:\1a\2i},,\1u\2i},,,\1u\2i}/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])([^wyA}&])}$,1,
1042,1a2a3,,\1.y.\2,,BACKOFF,[STEM-PV],1u2i3,lex:\1ayi\2-a,,\1uyi\2,,,\1uyi\2/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])y([^ntwyA}&])$,1,
1043,1a2a3,,\1.>.n,,BACKOFF,[STEM-PV],1u}i3,lex:\1a>an-a,,\1u}in,,,\1u}in/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#n intrans,^([^wyA}&])}n$,1,
1044,1a2o3a4,,\1.\2.y.\3,,BACKOFF,[STEM-PV],1u2o3i4,lex:\1a\2oya\3,,\1u\2oyi\3,,,\1u\2oyi\3/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])([^wyA}&])y([^ntwyA}&])$,1,
1045,1A2a3,,\1.w.>,,BACKOFF,[STEM-PV],1uw2i},lex:\1Awa>,,\1uwwi},,,\1uwwi}/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])ww}$,1,
1046,1a2a3,,\1.\2.w,,BACKOFF,[STEM-PV],1u2,lex:\1a\2aY-a,,\1u\2,,,\1u\2/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#-iy intrans,^([^wyA}&])([^wyA}&])$,1,
1047,1a2a3,,\1.\2.\2,,BACKOFF,[STEM-PV],1u2~,lex:\1u\2~,,\1u\2~,,,\1u\2~/PV_PASS,na,pos:verb asp:p vox:p mod:i,v-suff,,gem intrans,^([^wyA}&])([^ntwyA}&])$,1,
1048,1a2a3,,w.>.\1,,BACKOFF,[STEM-PV],1u}i3,lex:wa>a\1,,wu}i\1,,,wu}i\1/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^w}([^ntwyA}&])$,1,
1049,1a2~a3,,\1.\2.n,,BACKOFF,[STEM-PV],1u2~i3,lex:\1a\2~an-i,,\1u\2~in,,,\1u\2~in/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#n intrans,^([^wyA}&])([^wyA}&])n$,1,
