,Pattern,,COND-ST,Frequency,Lemma,Example (Form),REGEX-match,REGEX-sub,COND-map,Test,Color,Comments,STATUS
147,>a2u3,>a2u3,,2,>anuv,>anuv,(.).(.).(.),$1u$2i$3,,>univ,1,,DONE
148,>aAo3,>a@o3,c-suff + hollow,6,>Aq,>uq,(.).(.),$1i$2,c-suff + hollow,>iq,0,,DONE
149,>aAo3,>a@o3,v-suff + hollow,6,>Aq,|q,.(.),<iy$1,v-suff + hollow,<iyq,0,,DONE
150,>aw~a3,>aw~a3,,6,>aw~ah,>aw~ah,(.).(.)~.(.),$1u$2~i$3,,>uw~ih,1,,DONE
151,>aw~aY,>aw~a#,#-ay,1,>aw~aY,>aw~,(.).(.)~,$1u$2~,#-iy,,0,,DONE
152,>AwaY,>@wa#,#-ay,1,>AwaY,|w,.(.),>uw$1,#-iy,>uww,1,,DONE
153,>awaY,>awa#,#-ay,1,>awaY,>aw,(.).(.),$1u$2,#-iy,>uw,1,,DONE
154,>awi3,>awi3,,1,>awid,>awid,(.).(.).(.),$1u$2i$3,,>uwid,0,,DONE
155,>awo2a>,>awo2a>,#-a>,3,>awoma>,>awom,(.).(.).(.),$1u$2o$3i},,>uwomi},1,,DONE
156,>awo2a3,>awo2a3,#n,1,>awo$ak,>awo$ak,(.).(.).(.).(.),$1u$2o$3i$4,#n,>uwo$ik,0,,DONE
157,>awo2a3,>awo2a3,,51,>awo$ak,>awo$ak,(.).(.).(.).(.),$1u$2o$3i$4,,>uwo$ik,0,,DONE
158,>awo2aY,>awo2a#,#-ay,9,>awoEaY,>awoE,(.).(.).(.),>u$2o$3,#-iy,>uwoE,1,,DONE
159,>ay~a3,>ay~a3,#n,1,>ay~aD,>ay~aD,(.).(.)~.(.),$1u$2~i$3,#n,>uy~iD,0,,DONE
160,>ay~a3,>ay~a3,,2,>ay~aD,>ay~aD,(.).(.)~.(.),$1u$2~i$3,,>uy~iD,0,,DONE
161,>ayi3,>ayi3,,1,>ayis,>ayis,(.).(.).(.),$1u$2i$3,,>uyis,1,,DONE
