,PATTERN,COND-T,COND-S,#LEMMA,#FORM,MATCH,SUB,COND-T-PASS,COND-S-PASS,Test,Color,Comments,STATUS
139,>a2i3,,#n,>ahil,>ahil,(.).(.).(.),$1u$2i$3,,#n,>uhil,1,,DONE
140,>a2i3,,,>ahil,>ahil,(.).(.).(.),$1u$2i$3,,,>uhil,1,,DONE
141,>a2iy,,#-iy,>a*iy,>a*,(.).(.),$1u$2iy,,#-iy,>u*iy,0,,DONE
142,>a2u3,,#n,>anuv,>anuv,(.).(.).(.),$1u$2i$3,,#n,>univ,1,,DONE
143,>a2u3,,,>anuv,>anuv,(.).(.).(.),$1u$2i$3,,,>univ,1,,DONE
144,>aAo3,c-suff,,>aAq,>uq,(.).(.),<i$2,c-suff,hollow,<iq,0,,DONE
145,>aAo3,v-suff,,>aAq,|q,.(.),<iy$1,v-suff,hollow,<iyq,0,,DONE
146,>aw~a3,,,>aw~ah,>aw~ah,(.).(.)~.(.),$1u$2~i$3,,,>uw~ih,1,,DONE
147,>aw~aY,,#-ay,>aw~aY,>aw~,(.).(.)~,$1u$2~,,#-iy,>uw~,0,,DONE
148,>aAwaY,,#-ay,>aAwaY,|w,.(.),>uw$1,,#-iy,>uww,1,,DONE
149,>awaY,,#-ay,>awaY,>aw,(.).(.),$1u$2,,#-iy,>uw,0,,DONE
150,>awi3,,,>awid,>awid,(.).(.).(.),$1u$2i$3,,,>uwid,1,,DONE
151,>awo2a>,,#-a>,>awoma>,>awom,(.).(.).(.),$1u$2o$3i},,,>uwomi},0,,DONE
152,>awo2a3,,#n,>awo$ak,>awo$ak,(.).(.).(.).(.),$1u$2o$3i$4,,#n,>uwo$ik,1,,DONE
153,>awo2a3,,,>awo$ak,>awo$ak,(.).(.).(.).(.),$1u$2o$3i$4,,,>uwo$ik,1,,DONE
154,>awo2aY,,#-ay,>awoEaY,>awoE,(.).(.).(.),>u$2o$3,,#-iy,>uwoE,0,,DONE
155,>ay~a3,,#n,>ay~aD,>ay~aD,(.).(.)~.(.),$1u$2~i$3,,#n,>uy~iD,1,,DONE
156,>ay~a3,,,>ay~aD,>ay~aD,(.).(.)~.(.),$1u$2~i$3,,,>uy~iD,1,,DONE
157,>ayi3,,,>ayis,>ayis,(.).(.).(.),$1u$2i$3,,,>uyis,0,,DONE
158,>ayo>a3,,,>ayo>as,>ayo>as,(.).(.).(.).(.),$1u$2o}i$4,,,>uyo}is,1,,DONE
159,>ayo2a3,,#n,>ayonaE,>ayonaE,(.).(.).(.).(.),$1u$2o$3i$4,,#n,>uyoniE,0,,DONE
160,>ayo2a3,,,>ayonaE,>ayonaE,(.).(.).(.).(.),$1u$2o$3i$4,,,>uyoniE,0,,DONE
161,1aA>a3,,,laA'am,laA'am,(.)aA(.).(.),$1uw}i$3,,,luw}im,1,,DONE
162,1a>a3,,#n,ka>ad,ka>ad,(.).(.).(.),$1u}i$3,,#n,ku}id,0,,DONE
163,1a>a3,,,ka>ad,ka>ad,(.).(.).(.),$1u}i$3,,,ku}id,0,,DONE
164,1aA>aY,,#->ay,raA'aY,raA,(.)aA,$1uw,,#-}iy,ruw,1,,DONE
